date,cases,daily_change
2020-01-22,1,
2020-01-23,1,0.0
2020-01-24,2,1.0
2020-01-25,2,0.0
2020-01-26,5,3.0
2020-01-27,5,0.0
2020-01-28,5,0.0
2020-01-29,6,1.0
2020-01-30,6,0.0
2020-01-31,8,2.0
2020-02-01,8,0.0
2020-02-02,8,0.0
2020-02-03,11,3.0
2020-02-04,11,0.0
2020-02-05,11,0.0
2020-02-06,12,1.0
2020-02-07,12,0.0
2020-02-08,12,0.0
2020-02-09,12,0.0
2020-02-10,12,0.0
2020-02-11,13,1.0
2020-02-12,13,0.0
2020-02-13,14,1.0
2020-02-14,14,0.0
2020-02-15,14,0.0
2020-02-16,14,0.0
2020-02-17,14,0.0
2020-02-18,14,0.0
2020-02-19,14,0.0
2020-02-20,14,0.0
2020-02-21,16,2.0
2020-02-22,16,0.0
2020-02-23,16,0.0
2020-02-24,16,0.0
2020-02-25,16,0.0
2020-02-26,16,0.0
2020-02-27,17,1.0
2020-02-28,17,0.0
2020-02-29,25,8.0
2020-03-01,32,7.0
2020-03-02,55,23.0
2020-03-03,74,19.0
2020-03-04,107,33.0
2020-03-05,184,77.0
2020-03-06,237,53.0
2020-03-07,403,166.0
2020-03-08,519,116.0
2020-03-09,594,75.0
2020-03-10,782,188.0
2020-03-11,1150,368.0
2020-03-12,1590,440.0
2020-03-13,2222,632.0
2020-03-14,2986,764.0
2020-03-15,3230,244.0
2020-03-16,4686,1456.0
2020-03-17,6525,1839.0
2020-03-18,9180,2655.0
2020-03-19,13673,4493.0
2020-03-20,20039,6366.0
2020-03-21,26043,6004.0
2020-03-22,34855,8812.0
2020-03-23,46086,11231.0
2020-03-24,56698,10612.0
2020-03-25,68773,12075.0
2020-03-26,86613,17840.0
2020-03-27,105293,18680.0
2020-03-28,124900,19607.0
2020-03-29,143779,18879.0
2020-03-30,165861,22082.0
2020-03-31,192177,26316.0
2020-04-01,218060,25883.0
2020-04-02,248447,30387.0
2020-04-03,280417,31970.0
2020-04-04,313432,33015.0
2020-04-05,341629,28197.0
2020-04-06,371802,30173.0
2020-04-07,403212,31410.0
2020-04-08,435407,32195.0
2020-04-09,469989,34582.0
2020-04-10,503474,33485.0
2020-04-11,532782,29308.0
2020-04-12,559709,26927.0
2020-04-13,585518,25809.0
2020-04-14,614082,28564.0
2020-04-15,644247,30165.0
2020-04-16,675648,31401.0
2020-04-17,708317,32669.0
2020-04-18,736244,27927.0
2020-04-19,761933,25689.0
2020-04-20,790353,28420.0
2020-04-21,816413,26060.0
2020-04-22,845727,29314.0
2020-04-23,878911,33184.0
2020-04-24,912662,33751.0
2020-04-25,944234,31572.0
2020-04-26,971078,26844.0
2020-04-27,994265,23187.0
